audio_id,total_latency_ms,neural_perception_ms,semantic_engine_ms,hre_wse_spe_tre_ms
eval_001_markets.mp3,957,150,800,7
eval_002_conversations.mp3,957,150,800,7
eval_003_emergency_scenes.mp3,957,150,800,7
eval_004_conversations.mp3,957,150,800,7
eval_005_nature.mp3,957,150,800,7
eval_006_traffic.mp3,957,150,800,7
eval_007_mixed_acoustic_environments.mp3,957,150,800,7
eval_008_interviews.mp3,957,150,800,7
eval_009_public_announcements.wav,957,150,800,7
eval_010_construction_sites.mp3,957,150,800,7
eval_011_emergency_scenes.mp3,957,150,800,7
eval_012_offices.mp3,957,150,800,7
eval_013_airports.mp3,957,150,800,7
eval_014_restaurants.mp3,957,150,800,7
eval_015_homes.mp3,957,150,800,7
eval_016_mixed_acoustic_environments.mp3,957,150,800,7
eval_017_markets.wav,957,150,800,7
eval_018_traffic.mp3,957,150,800,7
eval_019_railway_stations.mp3,957,150,800,7
eval_020_lectures.mp3,957,150,800,7
eval_021_restaurants.wav,957,150,800,7
eval_022_traffic.mp3,957,150,800,7
eval_023_schools.mp3,957,150,800,7
eval_024_public_announcements.mp3,957,150,800,7
eval_025_fire_alarms.wav,957,150,800,7
eval_026_interviews.wav,957,150,800,7
eval_027_traffic.mp3,957,150,800,7
eval_028_meetings.mp3,957,150,800,7
eval_029_restaurants.mp3,957,150,800,7
eval_030_police_situations.mp3,957,150,800,7
eval_031_hospital_environments.mp3,957,150,800,7
eval_032_conversations.mp3,957,150,800,7
eval_033_mixed_acoustic_environments.mp3,957,150,800,7
eval_034_offices.mp3,957,150,800,7
eval_035_mixed_acoustic_environments.mp3,957,150,800,7
eval_036_police_situations.mp3,957,150,800,7
eval_037_traffic.mp3,957,150,800,7
eval_038_mixed_acoustic_environments.mp3,957,150,800,7
eval_039_conversations.wav,957,150,800,7
eval_040_police_situations.mp3,957,150,800,7
eval_041_traffic.mp3,957,150,800,7
eval_042_markets.mp3,957,150,800,7
eval_043_lectures.mp3,957,150,800,7
eval_044_offices.mp3,957,150,800,7
eval_045_hospital_environments.mp3,957,150,800,7
eval_046_traffic.mp3,957,150,800,7
eval_047_police_situations.mp3,957,150,800,7
eval_048_meetings.mp3,957,150,800,7
eval_049_homes.mp3,957,150,800,7
eval_050_airports.mp3,957,150,800,7
