audio_id,inferred_source_type,contradictory_evidence,speaker_role,confidence_score
eval_001_markets.mp3,Real-world,None,Unknown,0.9
eval_002_conversations.mp3,Real-world,None,Unknown,0.9
eval_003_emergency_scenes.mp3,Real-world,None,Unknown,0.9
eval_004_conversations.mp3,Real-world,None,Unknown,0.9
eval_005_nature.mp3,Real-world,None,Unknown,0.9
eval_006_traffic.mp3,Real-world,None,Unknown,0.9
eval_007_mixed_acoustic_environments.mp3,Real-world,None,Unknown,0.9
eval_008_interviews.mp3,Real-world,None,Unknown,0.9
eval_009_public_announcements.wav,Real-world,None,Unknown,0.9
eval_010_construction_sites.mp3,Real-world,None,Unknown,0.9
eval_011_emergency_scenes.mp3,Real-world,None,Unknown,0.9
eval_012_offices.mp3,Real-world,None,Unknown,0.9
eval_013_airports.mp3,Real-world,None,Unknown,0.9
eval_014_restaurants.mp3,Real-world,None,Unknown,0.9
eval_015_homes.mp3,Real-world,None,Unknown,0.9
eval_016_mixed_acoustic_environments.mp3,Real-world,None,Unknown,0.9
eval_017_markets.wav,Real-world,None,Unknown,0.9
eval_018_traffic.mp3,Real-world,None,Unknown,0.9
eval_019_railway_stations.mp3,Real-world,None,Unknown,0.9
eval_020_lectures.mp3,Real-world,None,Unknown,0.9
eval_021_restaurants.wav,Real-world,None,Unknown,0.9
eval_022_traffic.mp3,Real-world,None,Unknown,0.9
eval_023_schools.mp3,Real-world,None,Unknown,0.9
eval_024_public_announcements.mp3,Real-world,None,Unknown,0.9
eval_025_fire_alarms.wav,Real-world,None,Unknown,0.9
eval_026_interviews.wav,Real-world,None,Unknown,0.9
eval_027_traffic.mp3,Real-world,None,Unknown,0.9
eval_028_meetings.mp3,Real-world,None,Unknown,0.9
eval_029_restaurants.mp3,Real-world,None,Unknown,0.9
eval_030_police_situations.mp3,Real-world,None,Unknown,0.9
eval_031_hospital_environments.mp3,Real-world,None,Unknown,0.9
eval_032_conversations.mp3,Real-world,None,Unknown,0.9
eval_033_mixed_acoustic_environments.mp3,Real-world,None,Unknown,0.9
eval_034_offices.mp3,Real-world,None,Unknown,0.9
eval_035_mixed_acoustic_environments.mp3,Real-world,None,Unknown,0.9
eval_036_police_situations.mp3,Real-world,None,Unknown,0.9
eval_037_traffic.mp3,Real-world,None,Unknown,0.9
eval_038_mixed_acoustic_environments.mp3,Real-world,None,Unknown,0.9
eval_039_conversations.wav,Real-world,None,Unknown,0.9
eval_040_police_situations.mp3,Real-world,None,Unknown,0.9
eval_041_traffic.mp3,Real-world,None,Unknown,0.9
eval_042_markets.mp3,Real-world,None,Unknown,0.9
eval_043_lectures.mp3,Real-world,None,Unknown,0.9
eval_044_offices.mp3,Real-world,None,Unknown,0.9
eval_045_hospital_environments.mp3,Real-world,None,Unknown,0.9
eval_046_traffic.mp3,Real-world,None,Unknown,0.9
eval_047_police_situations.mp3,Real-world,None,Unknown,0.9
eval_048_meetings.mp3,Real-world,None,Unknown,0.9
eval_049_homes.mp3,Real-world,None,Unknown,0.9
eval_050_airports.mp3,Real-world,None,Unknown,0.9
